Truth,Decoded
Si grazie e arrivederci,io lo
Certo ecco a lei vuole un sacchetto,io lo
Buongiorno io sono Mario,io lo
"Certo volentieri, io lo prendero macchiato",io io e e lo
Perfetto vorrei comprarne due.,e a io
Tutto bene grazie,tu io
Prego,certo
Buonasera io sono Mario,io io
Va bene grazie lo stesso,tu io
Certo ecco a lei vuole un sacchetto,io lo
Quanto costa il biglietto,pero io
Tutto bene tu,tu io
Si grazie e arrivederci,io io
A che ora arriva il pullman,io io
Buongiorno io sono Mario,io io
Le auguro una buona giornata,io a e io
