Truth,Decoded
"Certo volentieri, io lo prendero macchiato",certo oieio io e ariato
Tutto bene tu,tutto sono
Le auguro una buona giornata,e un io una sono
Salve quanto costa quell articolo,e euro stai io
Piacere Luigi come stai,pero io io lo
Perfetto vorrei comprarne due.,certo ora io e
"Certo volentieri, io lo prendero macchiato",pero oriri iopre rermariao
E in offerta costa dieci euro,e un lo tra che tra io
A che ora arriva il pullman,eren e e io uomio
Buongiorno io sono Mario,tuonrnrio sono
Purtroppo non lo so pero potresti chiedere all autista,prtropono io lo certo che e a ctitr
Dovrebbe arrivare tra qualche minuto,dieci un a minuto
Tutto bene tu,tutto bene
Certo ecco a lei vuole un sacchetto,pero eairi uonarto
Quanto costa il biglietto,prunbn tu
Tutto bene grazie,tutto una io
