Truth,Decoded
Va bene grazie lo stesso,va bene grazie lo stesso
Salve quanto costa quell articolo,salve quanto costa quell articolo
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacchetto
Quanto costa il biglietto,quntita e io
"Certo volentieri, io lo prendero macchiato",e e cotadrelro
Purtroppo non lo so pero potresti chiedere all autista,certo si io polece costa
Dovrebbe arrivare tra qualche minuto,perentoto a careare e euro
Va bene grazie lo stesso,si grione e mario ecco
E in offerta costa dieci euro,gfer io io
Prendiamo un caffe al bar,prendiamo e caffe al bar
Piacere Luigi come stai,piacere un io come stai
A che ora arriva il pullman,a che ora io pullman
Le auguro una buona giornata,salve quanto costa una io glata
Buongiorno io sono Mario,beongo un io
Certo ecco a lei vuole un sacchetto,e e tra io io io io
Buonasera io sono Mario,buonasera io sono mario
