Truth,Decoded
Si grazie e arrivederci,riofere ciecro
Certo ecco a lei vuole un sacchetto,certo e a a il unicheto
Buongiorno io sono Mario,bungorn io sono mario
"Certo volentieri, io lo prendero macchiato",certo olniei io lo pero mario
Perfetto vorrei comprarne due.,certo vorrei comprarne due
Tutto bene grazie,tutto bene grazie
Prego,pero
Buonasera io sono Mario,bungeri io sono mario
Va bene grazie lo stesso,va bene grazie lo stesso
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole a scheto
Quanto costa il biglietto,vrbet lei
Tutto bene tu,tutto e tu
Si grazie e arrivederci,si grazie aeiedci
A che ora arriva il pullman,lo ora mario il pullman
Buongiorno io sono Mario,bunsorno io sono mario
Le auguro una buona giornata,le euro una una aranata
