Truth,Decoded
Buonasera io sono Mario,buonasera io sono mario
"Certo volentieri, io lo prendero macchiato",certo volentieri lo prendero macchiato
Prego,prego
Perfetto vorrei comprarne due.,si graerta costa driuo
E in offerta costa dieci euro,gfera io io
Quanto costa il biglietto,quanto costa e io
Le auguro una buona giornata,salve quanto certo una io giornata
Buongiorno io sono Mario,pretobng io
Buonasera io sono Mario,tu buonasera io sono mario
Va bene grazie lo stesso,a gretona io ecco
Tutto bene grazie,e iegogo io le e
"Certo volentieri, io lo prendero macchiato",e rfeta costadretilo
Prendiamo un caffe al bar,preodrdiamo una caffe al bar
Si grazie e arrivederci,si grietuo
Salve quanto costa quell articolo,si gfetnear tactiolo
Prego,prego
