Truth,Decoded
Tutto bene tu,tutto conege
Prendiamo un caffe al bar,pererdam a che a
Le auguro una buona giornata,e quanto sono un uirata
Buongiorno io sono Mario,prego
Piacere Luigi come stai,piacere un come sono
A che ora arriva il pullman,pero vrara io pullman
Tutto bene grazie,certo bene
Perfetto vorrei comprarne due.,pero costire reusi
"Certo volentieri, io lo prendero macchiato",e e cosradredriuo
Salve quanto costa quell articolo,e gqea che certo
Purtroppo non lo so pero potresti chiedere all autista,prtoso si lo chiedere autista
E in offerta costa dieci euro,pero io
Quanto costa il biglietto,qatocse lo
Certo ecco a lei vuole un sacchetto,piae reara si sono
Prego,prego
Buonasera io sono Mario,buona io sono mario
