Truth,Decoded
Tutto bene grazie,tutto bene grazie
Buongiorno io sono Mario,buongiorno io sono mario
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
Le auguro una buona giornata,salve quanto costa una che lata
Dovrebbe arrivare tra qualche minuto,dovrebbe e ararte tra qualche minuto
Purtroppo non lo so pero potresti chiedere all autista,pretrnto io pero si come pero e costa
E in offerta costa dieci euro,e offerta costa che io
"Certo volentieri, io lo prendero macchiato",perfetto comptadre lo io
Perfetto vorrei comprarne due.,si grato costa bar io
Tutto bene tu,tutto bene e
A che ora arriva il pullman,a che ora va io pullman
Quanto costa il biglietto,quanto costa ealito
Prego,prego
Va bene grazie lo stesso,si bene e grazie lo io
Tutto bene grazie,e quatota bene e
Prendiamo un caffe al bar,prendiamo un caffe al bar
