Truth,Decoded
Tutto bene tu,pero e
Prendiamo un caffe al bar,paeret e
Le auguro una buona giornata,pero io e
Buongiorno io sono Mario,pero lo
Piacere Luigi come stai,pero io io io
A che ora arriva il pullman,e e si e
Tutto bene grazie,due
Perfetto vorrei comprarne due.,certo si io lo
"Certo volentieri, io lo prendero macchiato",io lei lo
Salve quanto costa quell articolo,a io
Purtroppo non lo so pero potresti chiedere all autista,pero tra e un
E in offerta costa dieci euro,e e lo
Quanto costa il biglietto,e e io
Certo ecco a lei vuole un sacchetto,e e e
Prego,pero
Buonasera io sono Mario,io io io io io
