Truth,Decoded
Quanto costa il biglietto,quanto stai e aitito
Perfetto vorrei comprarne due.,si gqato costa io
Buongiorno io sono Mario,buontotoio non io
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Quanto costa il biglietto,quanto costa il biglietto
A che ora arriva il pullman,a che ora arriva il pullman
E in offerta costa dieci euro,e in offerta costa dieci euro
Tutto bene tu,tutto bene tu
Va bene grazie lo stesso,va bene grazie lo stesso
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Si grazie e arrivederci,si grazie e arrivederci
Buonasera io sono Mario,buonasera io sono mario
Tutto bene grazie,tutto beneazie
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacchetto
Prego,prego
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
