Truth,Decoded
Va bene grazie lo stesso,va bene grazie lo stesso
Salve quanto costa quell articolo,salve quanto costa quell articolo
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacchetto
Quanto costa il biglietto,quntita e io
"Certo volentieri, io lo prendero macchiato",e rfeta cosradrelruo
Purtroppo non lo so pero potresti chiedere all autista,certo va io preiel costa
Dovrebbe arrivare tra qualche minuto,perfetto a aifeare io io
Va bene grazie lo stesso,e greone io e
E in offerta costa dieci euro,gfet io io
Prendiamo un caffe al bar,prendiamo un caffe lo bar
Piacere Luigi come stai,piacere un come stai
A che ora arriva il pullman,a e ora io pullman
Le auguro una buona giornata,salve quanto costa una ilata
Buongiorno io sono Mario,prfeon io
Certo ecco a lei vuole un sacchetto,si e tra io io io
Buonasera io sono Mario,buonasera io sono mario
