Truth,Decoded
Tutto bene tu,tutto bene tu
E in offerta costa dieci euro,e in offerta costa dieci euro
Quanto costa il biglietto,quanto costa il biglietto
Si grazie e arrivederci,a grazie lilive le si
Va bene grazie lo stesso,va bene grazie lo stesso
Prego,prego
Buongiorno io sono Mario,buongiorno io sono mario
A che ora arriva il pullman,a che ora arriva il pullman
Certo ecco a lei vuole un sacchetto,certo ecco a lo io vuole macchiato
Buonasera io sono Mario,buonasera io sono mario
Dovrebbe arrivare tra qualche minuto,vabebne grairia le lo stesso
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",certo volentieri io io prendero macchiato
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere al autista
Perfetto vorrei comprarne due.,certo vorrei comprarne due
Salve quanto costa quell articolo,salve quanto costa quell articolo
