Truth,Decoded
Va bene grazie lo stesso,va bene grazie lo stesso
Salve quanto costa quell articolo,salve quanto costa una articolo
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacchetto
Quanto costa il biglietto,quti e
"Certo volentieri, io lo prendero macchiato",e e coradreruo
Purtroppo non lo so pero potresti chiedere all autista,certo va poereprere costa
Dovrebbe arrivare tra qualche minuto,perfetoba careareuo
Va bene grazie lo stesso,e e e
E in offerta costa dieci euro,si e lei
Prendiamo un caffe al bar,prendiamo a caffe lo bar
Piacere Luigi come stai,piacere un come stai
A che ora arriva il pullman,perfeora tra io pullman
Le auguro una buona giornata,salve quanto tutto una iolata
Buongiorno io sono Mario,prego
Certo ecco a lei vuole un sacchetto,io e e io costa
Buonasera io sono Mario,ebeazera io un mario
