Truth,Decoded
Prendiamo un caffe al bar,prendiamo un caffe al bar
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Tutto bene grazie,tutto bene grazie
Piacere Luigi come stai,piacere luigi come stai
Purtroppo non lo so pero potresti chiedere all autista,purtroppo so pero potresti chiedere al autista
Certo ecco a lei vuole un sacchetto,io onaea due io sono sachieto
"Certo volentieri, io lo prendero macchiato",certo ontero io lo pero macchiato
Quanto costa il biglietto,quanto costa il biglietto
Buonasera io sono Mario,buonasera io sono mario
Salve quanto costa quell articolo,salve quanto una vuole e io
A che ora arriva il pullman,a che arriva io pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe arairavael snuteso
Prego,prego
E in offerta costa dieci euro,e in offerta costa si euro
Buongiorno io sono Mario,buongiorno io sono mario
Piacere Luigi come stai,piacere luigi come stai
