Truth,Decoded
Quanto costa il biglietto,quanto costa il biglietto
"Certo volentieri, io lo prendero macchiato",certo ontero lo pero bene macchiato
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo lo so pero potresti chiedere al autista
Prendiamo un caffe al bar,prendiamo un caffe al bar
Tutto bene grazie,tutto bene grazie lo
A che ora arriva il pullman,a che ora arriva io pullman
Salve quanto costa quell articolo,le tutto una vuole a lo
Si grazie e arrivederci,grazie le coesaci
Buongiorno io sono Mario,buongiorno io sono mario
Va bene grazie lo stesso,va bene grazie lo stesso
E in offerta costa dieci euro,e in offerta costa si euro
Piacere Luigi come stai,piacere luigi come stai
Certo ecco a lei vuole un sacchetto,tu ora lei vuoeou macchiato
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Le auguro una buona giornata,le auguro una buona giornata
A che ora arriva il pullman,a che ora arriva il pullman
