Truth,Decoded
"Certo volentieri, io lo prendero macchiato",certo ontero io lo sono macchiato
Tutto bene tu,tutto bene tu
Le auguro una buona giornata,le euro una uonata
Salve quanto costa quell articolo,al quanto costa quell icolo
Piacere Luigi come stai,piacere luigi come stai
Perfetto vorrei comprarne due.,perfetto vorrei coprar due
"Certo volentieri, io lo prendero macchiato",certo voltiri lo lo prendero mario
E in offerta costa dieci euro,e in offerta costa craice euro
A che ora arriva il pullman,a che orarai pullman
Buongiorno io sono Mario,tuontirn io sono mario
Purtroppo non lo so pero potresti chiedere all autista,purtonon lo lo so pero pero cirera autista
Dovrebbe arrivare tra qualche minuto,dovreboberivare a due minuto
Tutto bene tu,tutto bene
Certo ecco a lei vuole un sacchetto,certo ecco lei pulnln acheto
Quanto costa il biglietto,tutto lo iageto
Tutto bene grazie,tutto bene grazie
