Truth,Decoded
Salve quanto costa quell articolo,al quanto costa quell micolo
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non io io pero pero pero che lo autista
Va bene grazie lo stesso,va e grazie lo stesso
Piacere Luigi come stai,piacere luigi come stai
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Buonasera io sono Mario,buonasera io sono mario
Certo ecco a lei vuole un sacchetto,certo ecco le io uoleoun macheto
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo pero mario
Si grazie e arrivederci,si grazie eriereso
Si grazie e arrivederci,ifezire rire ecco
Quanto costa il biglietto,quanto costa il biglietto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere autista
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Piacere Luigi come stai,piacere luigi come stai
Certo ecco a lei vuole un sacchetto,certo ecco a e un un sacchetto
Buongiorno io sono Mario,buongiorno io sono mario
