Truth,Decoded
Quanto costa il biglietto,le quanto costa il bigrlaeto
"Certo volentieri, io lo prendero macchiato",certo oentero lo pero pero macchiato
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere al autista
Prendiamo un caffe al bar,prendiamo un caffe al bar
Tutto bene grazie,tutto bene grazie
A che ora arriva il pullman,a che ora arriva il pullman
Salve quanto costa quell articolo,salve euro lueta vuole un a
Si grazie e arrivederci,si a grazie lo e lolel stai
Buongiorno io sono Mario,buongiorno io sono mario
Va bene grazie lo stesso,va bene grazie lo stesso
E in offerta costa dieci euro,e in offerta costa dieci euro
Piacere Luigi come stai,piacere luigi come stai
Certo ecco a lei vuole un sacchetto,certo a le io vuole macchiato
Perfetto vorrei comprarne due.,paerfet vorrei comprarne due
Le auguro una buona giornata,le euro una buona giornata
A che ora arriva il pullman,a che ora arriva il pullman
