Truth,Decoded
Si grazie e arrivederci,tu a io
Certo ecco a lei vuole un sacchetto,tu e a lo hieato
Buongiorno io sono Mario,sono io io
"Certo volentieri, io lo prendero macchiato",tutto io ora io e mario
Perfetto vorrei comprarne due.,un io ora e
Tutto bene grazie,tu e e
Prego,io
Buonasera io sono Mario,un e io io io
Va bene grazie lo stesso,vaebe a so
Certo ecco a lei vuole un sacchetto,e e a uleto
Quanto costa il biglietto,io io
Tutto bene tu,io
Si grazie e arrivederci,e e e a
A che ora arriva il pullman,lo io a e io
Buongiorno io sono Mario,io si io mario
Le auguro una buona giornata,e io un a un
