Truth,Decoded
Tutto bene tu,quanto io
Prendiamo un caffe al bar,prendero a e a
Le auguro una buona giornata,e quanto costa un ureae
Buongiorno io sono Mario,prego tu
Piacere Luigi come stai,pero si e stai
A che ora arriva il pullman,e e ora vuole
Tutto bene grazie,quanto bene
Perfetto vorrei comprarne due.,sirao si e eutsa
"Certo volentieri, io lo prendero macchiato",si e rdrereuo
Salve quanto costa quell articolo,si bene ecco
Purtroppo non lo so pero potresti chiedere all autista,pirtoto io il lutsa
E in offerta costa dieci euro,e e
Quanto costa il biglietto,si gate e
Certo ecco a lei vuole un sacchetto,si tra io io
Prego,pirete
Buonasera io sono Mario,buoneri io sono mario
