Truth,Decoded
Va bene grazie lo stesso,va bene grazie lo stesso
Salve quanto costa quell articolo,salve quanto costa una articolo
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacchetto
Quanto costa il biglietto,qatoie pero
"Certo volentieri, io lo prendero macchiato",io gfet csradreruo
Purtroppo non lo so pero potresti chiedere all autista,pero va io pero autista
Dovrebbe arrivare tra qualche minuto,perfetotoba areair io
Va bene grazie lo stesso,si e io io
E in offerta costa dieci euro,e e io
Prendiamo un caffe al bar,pererdam a caffe a
Piacere Luigi come stai,piacere un come stai
A che ora arriva il pullman,e a tra io pullman
Le auguro una buona giornata,salve quanto pero una uilata
Buongiorno io sono Mario,prego tu
Certo ecco a lei vuole un sacchetto,io gret io sono
Buonasera io sono Mario,buonasera io sono mario
