Truth,Decoded
Si grazie e arrivederci,e lo
Certo ecco a lei vuole un sacchetto,io lo
Buongiorno io sono Mario,io lo
"Certo volentieri, io lo prendero macchiato",io io io e e lo
Perfetto vorrei comprarne due.,e e e
Tutto bene grazie,tu e
Prego,e io
Buonasera io sono Mario,tutto io
Va bene grazie lo stesso,e tu e
Certo ecco a lei vuole un sacchetto,certo lo
Quanto costa il biglietto,un lo
Tutto bene tu,tutto
Si grazie e arrivederci,e io
A che ora arriva il pullman,e io io
Buongiorno io sono Mario,io io io
Le auguro una buona giornata,e io e io
