Truth,Decoded
Prendiamo un caffe al bar,prendiamo un cafeal bar
Perfetto vorrei comprarne due.,perfetto vorrei comprarne e
Tutto bene grazie,tutto bene grazie
Piacere Luigi come stai,piacere luigi come stai
Purtroppo non lo so pero potresti chiedere all autista,purtroppo sono so pero potrstichiedere al autista
Certo ecco a lei vuole un sacchetto,certo una lei io sono macchiato
"Certo volentieri, io lo prendero macchiato",certo olnter io si pero macchiato
Quanto costa il biglietto,quanto io il igrlaita
Buonasera io sono Mario,buonasera io sono mario
Salve quanto costa quell articolo,le euro uoet vuole una
A che ora arriva il pullman,a che mario io io mario
Dovrebbe arrivare tra qualche minuto,vabube ariravae lo snuteso
Prego,prego
E in offerta costa dieci euro,e in offerta costa e euro
Buongiorno io sono Mario,buongiorno io sono mario
Piacere Luigi come stai,piacere luigi come stai
