Truth,Decoded
Quanto costa il biglietto,euro lo
Purtroppo non lo so pero potresti chiedere all autista,certo un lo e io
Va bene grazie lo stesso,euro a lo
Prego,certo
Perfetto vorrei comprarne due.,euro lo lo
Certo ecco a lei vuole un sacchetto,euro a lo lo
Si grazie e arrivederci,a e a lo lo
Le auguro una buona giornata,certo lo lo
Buongiorno io sono Mario,certo lo lo
Buonasera io sono Mario,a lo a lo lo
Piacere Luigi come stai,euro lo lo
Tutto bene tu,euro lo
Salve quanto costa quell articolo,euro lo lo
E in offerta costa dieci euro,euro a lo
Tutto bene grazie,certo lo
Prendiamo un caffe al bar,certo lo
"Certo volentieri, io lo prendero macchiato",pero lo e io
A che ora arriva il pullman,certo lo
Dovrebbe arrivare tra qualche minuto,euro lo
Quanto costa il biglietto,certo
Purtroppo non lo so pero potresti chiedere all autista,certo e io
Va bene grazie lo stesso,euro a lo
Prego,euro lo
Perfetto vorrei comprarne due.,certo un e io
Certo ecco a lei vuole un sacchetto,tu lo
Si grazie e arrivederci,certo un lo e io
Le auguro una buona giornata,certo lo e io
Buongiorno io sono Mario,certo lo lo
Buonasera io sono Mario,certo un lo e io
Piacere Luigi come stai,certo lo e io
Tutto bene tu,euro lo
Salve quanto costa quell articolo,certo a lo e io
