Truth,Decoded
Salve quanto costa quell articolo,pero io
E in offerta costa dieci euro,pero io
Tutto bene grazie,pero io
Prendiamo un caffe al bar,pero io
"Certo volentieri, io lo prendero macchiato",pero e io
A che ora arriva il pullman,pero io
Dovrebbe arrivare tra qualche minuto,pero io
Quanto costa il biglietto,pero io
Purtroppo non lo so pero potresti chiedere all autista,pero e io
Va bene grazie lo stesso,pero io
Prego,pero io
Perfetto vorrei comprarne due.,pero io
Certo ecco a lei vuole un sacchetto,pero e io
Si grazie e arrivederci,pero io
Le auguro una buona giornata,pero e io
Buongiorno io sono Mario,pero e io
Buonasera io sono Mario,pero io
Piacere Luigi come stai,pero io
Tutto bene tu,pero io
Salve quanto costa quell articolo,pero lo
E in offerta costa dieci euro,pero lo
Tutto bene grazie,pero io
Prendiamo un caffe al bar,pero io
"Certo volentieri, io lo prendero macchiato",pero lo
A che ora arriva il pullman,pero io
Dovrebbe arrivare tra qualche minuto,pero io
Quanto costa il biglietto,pero e io
Purtroppo non lo so pero potresti chiedere all autista,pero e io
Va bene grazie lo stesso,pero io
Prego,pero io
Perfetto vorrei comprarne due.,pero io
Certo ecco a lei vuole un sacchetto,pero e io
