Truth,Decoded
Si grazie e arrivederci,pero a lo e lo
Le auguro una buona giornata,euro lo lo
Buongiorno io sono Mario,certo lo lo
Buonasera io sono Mario,euro a lo lo
Piacere Luigi come stai,euro lo io
Tutto bene tu,purtoto
Salve quanto costa quell articolo,a e a lo io
E in offerta costa dieci euro,euro a lo lo
Tutto bene grazie,euro lo
Prendiamo un caffe al bar,tu a lo
"Certo volentieri, io lo prendero macchiato",euro a lo io
A che ora arriva il pullman,tutto a lo
Dovrebbe arrivare tra qualche minuto,bene a lo
Quanto costa il biglietto,tutto lo
Purtroppo non lo so pero potresti chiedere all autista,purtroppo io lo e lo
Va bene grazie lo stesso,euro a lo
Prego,tutto
Perfetto vorrei comprarne due.,certo un lo lo
Certo ecco a lei vuole un sacchetto,certo a lo e lo
Si grazie e arrivederci,bene a lo
Le auguro una buona giornata,tu a lo
Buongiorno io sono Mario,pureon lo lo
Buonasera io sono Mario,euro a lo io
Piacere Luigi come stai,pureoa lo lo
Tutto bene tu,tutto
Salve quanto costa quell articolo,euro lo
E in offerta costa dieci euro,euro a lo lo
Tutto bene grazie,euro lo
Prendiamo un caffe al bar,euro lo
"Certo volentieri, io lo prendero macchiato",euro un lo e lo
A che ora arriva il pullman,tutto lo
Dovrebbe arrivare tra qualche minuto,euro a lo
