Truth,Decoded
Quanto costa il biglietto,bene a io
Purtroppo non lo so pero potresti chiedere all autista,certo un lo e io
Va bene grazie lo stesso,bene a io
Prego,euro io
Perfetto vorrei comprarne due.,euro io
Certo ecco a lei vuole un sacchetto,euro a lo io
Si grazie e arrivederci,euro a lo io
Le auguro una buona giornata,euro lo io
Buongiorno io sono Mario,euro io
Buonasera io sono Mario,bene a lo io
Piacere Luigi come stai,euro lo io
Tutto bene tu,euro io
Salve quanto costa quell articolo,euro lo e io
E in offerta costa dieci euro,euro a lo io
Tutto bene grazie,euro io
Prendiamo un caffe al bar,euro io
"Certo volentieri, io lo prendero macchiato",pero lo lo e io
A che ora arriva il pullman,euro io
Dovrebbe arrivare tra qualche minuto,bene a io
Quanto costa il biglietto,certo io
Purtroppo non lo so pero potresti chiedere all autista,certo e io
Va bene grazie lo stesso,bene a io
Prego,euro io
Perfetto vorrei comprarne due.,certo un lo e io
Certo ecco a lei vuole un sacchetto,bene a io
Si grazie e arrivederci,pero un lo e io
Le auguro una buona giornata,certo lo lo
Buongiorno io sono Mario,euro io
Buonasera io sono Mario,euro lo e io
Piacere Luigi come stai,certo lo e io
Tutto bene tu,euro io
Salve quanto costa quell articolo,euro lo e io
