Truth,Decoded
Quanto costa il biglietto,lo
Purtroppo non lo so pero potresti chiedere all autista,lo
Va bene grazie lo stesso,lo
Prego,lo
Perfetto vorrei comprarne due.,lo
Certo ecco a lei vuole un sacchetto,lo
Si grazie e arrivederci,lo
Le auguro una buona giornata,lo
Buongiorno io sono Mario,lo
Buonasera io sono Mario,lo
Piacere Luigi come stai,lo
Tutto bene tu,lo
Salve quanto costa quell articolo,
E in offerta costa dieci euro,
Tutto bene grazie,
Prendiamo un caffe al bar,
"Certo volentieri, io lo prendero macchiato",
A che ora arriva il pullman,
Dovrebbe arrivare tra qualche minuto,
Quanto costa il biglietto,
Purtroppo non lo so pero potresti chiedere all autista,
Va bene grazie lo stesso,
Prego,
Perfetto vorrei comprarne due.,
Certo ecco a lei vuole un sacchetto,
Si grazie e arrivederci,
Le auguro una buona giornata,
Buongiorno io sono Mario,
Buonasera io sono Mario,
Piacere Luigi come stai,
Tutto bene tu,
Salve quanto costa quell articolo,lo
