Truth,Decoded
Quanto costa il biglietto,euro lo
Purtroppo non lo so pero potresti chiedere all autista,euro lo e io
Va bene grazie lo stesso,euro lo
Prego,euro lo
Perfetto vorrei comprarne due.,euro io
Certo ecco a lei vuole un sacchetto,euro lo
Si grazie e arrivederci,euro lo
Le auguro una buona giornata,euro lo
Buongiorno io sono Mario,euro lo
Buonasera io sono Mario,euro io
Piacere Luigi come stai,euro lo
Tutto bene tu,tutto io
Salve quanto costa quell articolo,euro io
E in offerta costa dieci euro,tutto io
Tutto bene grazie,tutto io
Prendiamo un caffe al bar,tutto io
"Certo volentieri, io lo prendero macchiato",tutto e io
A che ora arriva il pullman,euro lo
Dovrebbe arrivare tra qualche minuto,euro io
Quanto costa il biglietto,tutto io
Purtroppo non lo so pero potresti chiedere all autista,tutto lo
Va bene grazie lo stesso,euro io
Prego,tutto io
Perfetto vorrei comprarne due.,tutto lo lo
Certo ecco a lei vuole un sacchetto,euro io
Si grazie e arrivederci,euro lo
Le auguro una buona giornata,euro lo
Buongiorno io sono Mario,tutto io
Buonasera io sono Mario,tutto lo
Piacere Luigi come stai,tutto lo
Tutto bene tu,tutto io
Salve quanto costa quell articolo,euro io
