Truth,Decoded
Quanto costa il biglietto,a
Purtroppo non lo so pero potresti chiedere all autista,a
Va bene grazie lo stesso,a
Prego,a
Perfetto vorrei comprarne due.,a
Certo ecco a lei vuole un sacchetto,a
Si grazie e arrivederci,a
Le auguro una buona giornata,a
Buongiorno io sono Mario,a
Buonasera io sono Mario,a
Piacere Luigi come stai,a
Tutto bene tu,a
Salve quanto costa quell articolo,a
E in offerta costa dieci euro,a
Tutto bene grazie,a
Prendiamo un caffe al bar,a
"Certo volentieri, io lo prendero macchiato",a
A che ora arriva il pullman,a
Dovrebbe arrivare tra qualche minuto,a
Quanto costa il biglietto,a
Purtroppo non lo so pero potresti chiedere all autista,a
Va bene grazie lo stesso,a
Prego,a
Perfetto vorrei comprarne due.,a
Certo ecco a lei vuole un sacchetto,a
Si grazie e arrivederci,a
Le auguro una buona giornata,a
Buongiorno io sono Mario,a
Buonasera io sono Mario,a
Piacere Luigi come stai,a
Tutto bene tu,a
Salve quanto costa quell articolo,tra
