Truth,Decoded
Quanto costa il biglietto,euro lo
Purtroppo non lo so pero potresti chiedere all autista,certo lo io
Va bene grazie lo stesso,bene a lo
Prego,euro lo
Perfetto vorrei comprarne due.,euro lo lo
Certo ecco a lei vuole un sacchetto,euro a lo lo
Si grazie e arrivederci,a e a lo
Le auguro una buona giornata,euro lo
Buongiorno io sono Mario,euro lo
Buonasera io sono Mario,due a lo lo
Piacere Luigi come stai,euro lo
Tutto bene tu,euro lo
Salve quanto costa quell articolo,euro lo lo
E in offerta costa dieci euro,bene a lo
Tutto bene grazie,euro lo
Prendiamo un caffe al bar,euro lo
"Certo volentieri, io lo prendero macchiato",euro lo io
A che ora arriva il pullman,euro lo
Dovrebbe arrivare tra qualche minuto,euro lo
Quanto costa il biglietto,euro lo
Purtroppo non lo so pero potresti chiedere all autista,pero e io
Va bene grazie lo stesso,a e a lo
Prego,euro lo
Perfetto vorrei comprarne due.,certo un e lo
Certo ecco a lei vuole un sacchetto,euro lo
Si grazie e arrivederci,euro un lo e io
Le auguro una buona giornata,certo lo
Buongiorno io sono Mario,euro lo lo
Buonasera io sono Mario,euro lo e lo
Piacere Luigi come stai,certo lo io
Tutto bene tu,tu lo
Salve quanto costa quell articolo,certo a lo e io
