Truth,Decoded
Si grazie e arrivederci,un lo
Le auguro una buona giornata,un lo
Buongiorno io sono Mario,un lo
Buonasera io sono Mario,un lo
Piacere Luigi come stai,un lo
Tutto bene tu,un lo
Salve quanto costa quell articolo,un lo
E in offerta costa dieci euro,un lo
Tutto bene grazie,un lo
Prendiamo un caffe al bar,un lo
"Certo volentieri, io lo prendero macchiato",un lo
A che ora arriva il pullman,un lo
Dovrebbe arrivare tra qualche minuto,un lo
Quanto costa il biglietto,un lo
Purtroppo non lo so pero potresti chiedere all autista,un lo
Va bene grazie lo stesso,un lo
Prego,un lo
Perfetto vorrei comprarne due.,un lo
Certo ecco a lei vuole un sacchetto,un lo
Si grazie e arrivederci,un lo
Le auguro una buona giornata,un lo
Buongiorno io sono Mario,un lo
Buonasera io sono Mario,un lo
Piacere Luigi come stai,un lo
Tutto bene tu,un lo
Salve quanto costa quell articolo,un lo
E in offerta costa dieci euro,un lo
Tutto bene grazie,un lo
Prendiamo un caffe al bar,un lo
"Certo volentieri, io lo prendero macchiato",un lo
A che ora arriva il pullman,un lo
Dovrebbe arrivare tra qualche minuto,un lo
