Truth,Decoded
Si grazie e arrivederci,e io
Le auguro una buona giornata,e io
Buongiorno io sono Mario,e io
Buonasera io sono Mario,e lo
Piacere Luigi come stai,e io
Tutto bene tu,e io
Salve quanto costa quell articolo,e io
E in offerta costa dieci euro,e lo
Tutto bene grazie,e io
Prendiamo un caffe al bar,e io
"Certo volentieri, io lo prendero macchiato",e io
A che ora arriva il pullman,e io
Dovrebbe arrivare tra qualche minuto,e io
Quanto costa il biglietto,e io
Purtroppo non lo so pero potresti chiedere all autista,e io
Va bene grazie lo stesso,e io
Prego,e io
Perfetto vorrei comprarne due.,e io
Certo ecco a lei vuole un sacchetto,e io
Si grazie e arrivederci,e io
Le auguro una buona giornata,e io
Buongiorno io sono Mario,e io
Buonasera io sono Mario,e io
Piacere Luigi come stai,e io
Tutto bene tu,e io
Salve quanto costa quell articolo,e io
E in offerta costa dieci euro,e io
Tutto bene grazie,e lo
Prendiamo un caffe al bar,e io
"Certo volentieri, io lo prendero macchiato",e io
A che ora arriva il pullman,e io
Dovrebbe arrivare tra qualche minuto,e io
