Truth,Decoded
Salve quanto costa quell articolo,euro a lo e io
E in offerta costa dieci euro,euro a io
Tutto bene grazie,euro io
Prendiamo un caffe al bar,euro io
"Certo volentieri, io lo prendero macchiato",pertopon lo e lo
A che ora arriva il pullman,euro a io
Dovrebbe arrivare tra qualche minuto,euro a io
Quanto costa il biglietto,tutto io
Purtroppo non lo so pero potresti chiedere all autista,certo lo lo e lo
Va bene grazie lo stesso,euro io
Prego,tutto io
Perfetto vorrei comprarne due.,euro a io
Certo ecco a lei vuole un sacchetto,pero ora lo e lo
Si grazie e arrivederci,euro a lo
Le auguro una buona giornata,certo lo lo e lo
Buongiorno io sono Mario,pero lo e io
Buonasera io sono Mario,euro a io
Piacere Luigi come stai,euro a io
Tutto bene tu,purtoto
Salve quanto costa quell articolo,tutto lo certo
E in offerta costa dieci euro,euro a lo
Tutto bene grazie,euro e io
Prendiamo un caffe al bar,pero lo e io
"Certo volentieri, io lo prendero macchiato",pero a lo e io
A che ora arriva il pullman,bene a io
Dovrebbe arrivare tra qualche minuto,bene a io
Quanto costa il biglietto,euro lo
Purtroppo non lo so pero potresti chiedere all autista,certo e lo
Va bene grazie lo stesso,bene a io
Prego,euro io
Perfetto vorrei comprarne due.,euro io
Certo ecco a lei vuole un sacchetto,pero lo lo e io
