Truth,Decoded
Si grazie e arrivederci,pero lo e lo
Le auguro una buona giornata,euro lo lo
Buongiorno io sono Mario,euro lo io
Buonasera io sono Mario,euro a lo io
Piacere Luigi come stai,euro lo io
Tutto bene tu,purtoto
Salve quanto costa quell articolo,a e a lo lo
E in offerta costa dieci euro,due a lo lo
Tutto bene grazie,euro a lo
Prendiamo un caffe al bar,bene a lo
"Certo volentieri, io lo prendero macchiato",euro a lo io
A che ora arriva il pullman,tutto lo
Dovrebbe arrivare tra qualche minuto,bene a lo
Quanto costa il biglietto,tutto
Purtroppo non lo so pero potresti chiedere all autista,purtroppo un lo e io
Va bene grazie lo stesso,euro a lo
Prego,certo
Perfetto vorrei comprarne due.,euro lo lo
Certo ecco a lei vuole un sacchetto,certo a lo e lo
Si grazie e arrivederci,bene a lo
Le auguro una buona giornata,euro lo
Buongiorno io sono Mario,euro lo lo
Buonasera io sono Mario,euro a lo
Piacere Luigi come stai,pureoa lo lo
Tutto bene tu,tutto
Salve quanto costa quell articolo,euro lo lo
E in offerta costa dieci euro,euro a lo lo
Tutto bene grazie,euro lo
Prendiamo un caffe al bar,euro a lo
"Certo volentieri, io lo prendero macchiato",certo un lo e io
A che ora arriva il pullman,a e a lo
Dovrebbe arrivare tra qualche minuto,a e a lo
