Truth,Decoded
Quanto costa il biglietto,euro lo
Purtroppo non lo so pero potresti chiedere all autista,certo lo lo
Va bene grazie lo stesso,euro a lo
Prego,certo
Perfetto vorrei comprarne due.,euro lo
Certo ecco a lei vuole un sacchetto,euro lo lo
Si grazie e arrivederci,euro a lo
Le auguro una buona giornata,certo lo
Buongiorno io sono Mario,certo lo
Buonasera io sono Mario,euro a lo lo
Piacere Luigi come stai,certo lo
Tutto bene tu,certo
Salve quanto costa quell articolo,euro lo lo
E in offerta costa dieci euro,euro lo
Tutto bene grazie,certo lo
Prendiamo un caffe al bar,certo lo
"Certo volentieri, io lo prendero macchiato",euro lo io
A che ora arriva il pullman,euro lo
Dovrebbe arrivare tra qualche minuto,euro lo
Quanto costa il biglietto,certo
Purtroppo non lo so pero potresti chiedere all autista,certo e io
Va bene grazie lo stesso,euro a lo
Prego,euro lo
Perfetto vorrei comprarne due.,certo un e io
Certo ecco a lei vuole un sacchetto,tutto lo
Si grazie e arrivederci,certo un lo e io
Le auguro una buona giornata,certo lo
Buongiorno io sono Mario,euro lo lo
Buonasera io sono Mario,certo lo lo
Piacere Luigi come stai,certo lo lo
Tutto bene tu,certo
Salve quanto costa quell articolo,certo a lo e io
