Truth,Decoded
E in offerta costa dieci euro,a certo mario lo lo
Certo ecco a lei vuole un sacchetto,a lo a costa lo
Si grazie e arrivederci,e lo io e a e lo
Piacere Luigi come stai,tu certo io lo e lo
Tutto bene grazie,tutto e lo
Quanto costa il biglietto,tutto a a le lo
Va bene grazie lo stesso,a certo mario io lo
Perfetto vorrei comprarne due.,certo a costa e io
Piacere Luigi come stai,tu lo io come lo
Tutto bene grazie,tutto e lo lo
E in offerta costa dieci euro,prego bene lo so
Quanto costa il biglietto,tutto bene io
Prendiamo un caffe al bar,quanto lo lo
A che ora arriva il pullman,mario io a lo
Dovrebbe arrivare tra qualche minuto,tutto e lo ecco
Tutto bene tu,tutto bene lo
