Truth,Decoded
Quanto costa il biglietto,quanto a il io lo
Piacere Luigi come stai,tutto a il atito
Le auguro una buona giornata,tu lo un bene lo
Perfetto vorrei comprarne due.,e lo io costa e io
Buongiorno io sono Mario,sono a io e lo
Prendiamo un caffe al bar,bene io
"Certo volentieri, io lo prendero macchiato",certo sono io stai e ahito
A che ora arriva il pullman,a euro mario io e lo
Le auguro una buona giornata,a lo a io lo
Va bene grazie lo stesso,a euro mario io e lo
Prego,euro a io
Dovrebbe arrivare tra qualche minuto,a euro mario io a lo
Tutto bene tu,tutto a io lo
Salve quanto costa quell articolo,a lo a a lo
Buonasera io sono Mario,a pero io io e lo
Purtroppo non lo so pero potresti chiedere all autista,un lo un lo lo lo oporsti bene lo actitato
