Truth,Decoded
Purtroppo non lo so pero potresti chiedere all autista,perntoponto opopoprt e io
Tutto bene tu,euro un lo
"Certo volentieri, io lo prendero macchiato",certo a a e lo
Dovrebbe arrivare tra qualche minuto,e lo a e lo
Prego,un lo
Tutto bene grazie,certo bene lo
E in offerta costa dieci euro,certo un lo e io
Buongiorno io sono Mario,tutto lo lo
A che ora arriva il pullman,tu lo un lo lo
Salve quanto costa quell articolo,pertopon ora e lo
Va bene grazie lo stesso,tu lo a lo
Prendiamo un caffe al bar,tu lo un lo
Certo ecco a lei vuole un sacchetto,e lo lo lo
Si grazie e arrivederci,tutto e lo
Buonasera io sono Mario,tutto lo lo
Perfetto vorrei comprarne due.,tutto e lo
