Truth,Decoded
"Certo volentieri, io lo prendero macchiato",certo a e lo
Buonasera io sono Mario,tu tra
Certo ecco a lei vuole un sacchetto,certo ora io
Prego,prego
Salve quanto costa quell articolo,certo orierio
A che ora arriva il pullman,tu lo lo
Piacere Luigi come stai,tu lo certo
E in offerta costa dieci euro,certo a lo
Purtroppo non lo so pero potresti chiedere all autista,certo orier lo
Si grazie e arrivederci,certo a e io
Tutto bene tu,tu lo lo
Tutto bene grazie,certo certo
Buongiorno io sono Mario,tu lo lo
Prego,tu a lo
Certo ecco a lei vuole un sacchetto,certo lo
Piacere Luigi come stai,tu lo lo
