Truth,Decoded
E in offerta costa dieci euro,a lo io e io
Certo ecco a lei vuole un sacchetto,e lo a lo e io
Si grazie e arrivederci,e lo io io e io
Piacere Luigi come stai,puoeo io lo e io
Tutto bene grazie,tutto e io
Quanto costa il biglietto,tutto a le atito
Va bene grazie lo stesso,quanto a il lo
Perfetto vorrei comprarne due.,certo e costa io
Piacere Luigi come stai,e lo io lo e io
Tutto bene grazie,tutto e e lo
E in offerta costa dieci euro,prego io a lo
Quanto costa il biglietto,tutto e io
Prendiamo un caffe al bar,tutto a il lo
A che ora arriva il pullman,prego io il lo
Dovrebbe arrivare tra qualche minuto,tutto e che lo
Tutto bene tu,tutto e io
