Truth,Decoded
A che ora arriva il pullman,purte io
Tutto bene grazie,purte io
Perfetto vorrei comprarne due.,purte io
Quanto costa il biglietto,purte io
Perfetto vorrei comprarne due.,tutto io
Buongiorno io sono Mario,purte io
Tutto bene tu,purte io
Piacere Luigi come stai,tutto io
Purtroppo non lo so pero potresti chiedere all autista,tutto io
Si grazie e arrivederci,tutto io
Salve quanto costa quell articolo,purte io
Prego,purte io
"Certo volentieri, io lo prendero macchiato",purte io
A che ora arriva il pullman,purte io
Certo ecco a lei vuole un sacchetto,tutto io
Tutto bene grazie,purte io
