Truth,Decoded
Dovrebbe arrivare tra qualche minuto,prego e lo
A che ora arriva il pullman,pero io
Perfetto vorrei comprarne due.,prego e lo
Salve quanto costa quell articolo,certo lo e ecco
Va bene grazie lo stesso,prego e io
Tutto bene tu,certo e lo
"Certo volentieri, io lo prendero macchiato",certo e lo
Buongiorno io sono Mario,puret e io
Le auguro una buona giornata,prego e lo
Prego,certo e lo
Prendiamo un caffe al bar,certo e lo
Piacere Luigi come stai,certo e ecco
Si grazie e arrivederci,tu e io
Certo ecco a lei vuole un sacchetto,pero e io
Va bene grazie lo stesso,pero io
Le auguro una buona giornata,tu e io
