Truth,Decoded
Dovrebbe arrivare tra qualche minuto,tu io lo
A che ora arriva il pullman,tu io io
Perfetto vorrei comprarne due.,tu io io
Salve quanto costa quell articolo,certo lo e lo
Va bene grazie lo stesso,tu io io
Tutto bene tu,tu io lo
"Certo volentieri, io lo prendero macchiato",certo e io
Buongiorno io sono Mario,tu io io
Le auguro una buona giornata,tu io lo
Prego,tu io io
Prendiamo un caffe al bar,tu io lo
Piacere Luigi come stai,tu io e io
Si grazie e arrivederci,tu io lo
Certo ecco a lei vuole un sacchetto,tu io e io
Va bene grazie lo stesso,tu io io
Le auguro una buona giornata,tu io lo
