Truth,Decoded
Quanto costa il biglietto,tu lo io e io
Piacere Luigi come stai,certo io io acito
Le auguro una buona giornata,tu lo e io
Perfetto vorrei comprarne due.,certo e e io
Buongiorno io sono Mario,tu lo io
Prendiamo un caffe al bar,tutto io
"Certo volentieri, io lo prendero macchiato",certo un lo e io
A che ora arriva il pullman,tu lo io lo
Le auguro una buona giornata,tu lo io e lo
Va bene grazie lo stesso,tu lo io io
Prego,tu lo io e lo
Dovrebbe arrivare tra qualche minuto,tu lo io io
Tutto bene tu,tu lo io
Salve quanto costa quell articolo,certo e lo
Buonasera io sono Mario,tu lo io lo
Purtroppo non lo so pero potresti chiedere all autista,certo un ora bene acito
