Truth,Decoded
Le auguro una buona giornata,tu lo lo
"Certo volentieri, io lo prendero macchiato",tu lo a lo
Quanto costa il biglietto,tu lo lo
A che ora arriva il pullman,tu lo lo
Dovrebbe arrivare tra qualche minuto,tu lo a lo
Tutto bene tu,prego
Tutto bene grazie,tu lo lo
Va bene grazie lo stesso,tu lo lo
Perfetto vorrei comprarne due.,tu lo lo
Purtroppo non lo so pero potresti chiedere all autista,e lo a lo
Buonasera io sono Mario,tu lo lo
Prendiamo un caffe al bar,tu lo lo
Salve quanto costa quell articolo,tu lo lo
Si grazie e arrivederci,tu lo lo
E in offerta costa dieci euro,tu lo lo
Purtroppo non lo so pero potresti chiedere all autista,certo un ora e lo
