Truth,Decoded
"Certo volentieri, io lo prendero macchiato",certo io lo e lo
Buonasera io sono Mario,tu lo a lo
Certo ecco a lei vuole un sacchetto,certo un lo e io
Prego,prego
Salve quanto costa quell articolo,certo lo ora e io
A che ora arriva il pullman,tu lo si lo
Piacere Luigi come stai,tu lo si e lo
E in offerta costa dieci euro,certo si e io
Purtroppo non lo so pero potresti chiedere all autista,certo un orier io
Si grazie e arrivederci,certo si e io
Tutto bene tu,tu lo lo
Tutto bene grazie,tu lo lo
Buongiorno io sono Mario,tu lo certo
Prego,prego lo
Certo ecco a lei vuole un sacchetto,certo e lo
Piacere Luigi come stai,tu lo a certo
