Truth,Decoded
"Certo volentieri, io lo prendero macchiato",certo io lo e io
Buonasera io sono Mario,e lo a io
Certo ecco a lei vuole un sacchetto,certo in lo e io
Prego,purgno
Salve quanto costa quell articolo,certo io ora e io
A che ora arriva il pullman,tu lo a lo
Piacere Luigi come stai,e lo a io
E in offerta costa dieci euro,certo si e io
Purtroppo non lo so pero potresti chiedere all autista,certo lo orier io
Si grazie e arrivederci,certo si tu io acito
Tutto bene tu,euro lo
Tutto bene grazie,e lo a io
Buongiorno io sono Mario,tu lo a lo lo
Prego,un lo
Certo ecco a lei vuole un sacchetto,e lo a e io
Piacere Luigi come stai,e lo io lo io
