Truth,Decoded
Le auguro una buona giornata,quanto un oaiao
"Certo volentieri, io lo prendero macchiato",e lo io io e io
Quanto costa il biglietto,tutto e lo
A che ora arriva il pullman,e lo
Dovrebbe arrivare tra qualche minuto,va erarva io a lo
Tutto bene tu,tutto lo
Tutto bene grazie,tutto un lo
Va bene grazie lo stesso,a euro mario io a lo
Perfetto vorrei comprarne due.,quanto a ora lo
Purtroppo non lo so pero potresti chiedere all autista,e lo in ioraoe lo
Buonasera io sono Mario,tu lo a conaeao
Prendiamo un caffe al bar,prego un lo
Salve quanto costa quell articolo,a lo io come lo
Si grazie e arrivederci,prego e io lo
E in offerta costa dieci euro,e lo va ora un io
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo lo lo oposra io ahiato
