Truth,Decoded
Quanto costa il biglietto,sono un lo lo
Piacere Luigi come stai,tu lo a e lo
Le auguro una buona giornata,tu lo un lo e lo
Perfetto vorrei comprarne due.,e lo io lo e lo
Buongiorno io sono Mario,tu lo a lo lo
Prendiamo un caffe al bar,prtne lo
"Certo volentieri, io lo prendero macchiato",certo e costa e lo
A che ora arriva il pullman,tu lo a lo lo
Le auguro una buona giornata,tu lo a lo lo
Va bene grazie lo stesso,tu lo io e lo
Prego,prego lo
Dovrebbe arrivare tra qualche minuto,tu lo io lo
Tutto bene tu,sono a lo
Salve quanto costa quell articolo,a lo io lo e lo
Buonasera io sono Mario,a lo a e lo
Purtroppo non lo so pero potresti chiedere all autista,purntopolno lo opopotsti bene io
