Truth,Decoded
E in offerta costa dieci euro,tu lo lo
Certo ecco a lei vuole un sacchetto,certo e lo
Si grazie e arrivederci,certo e lo
Piacere Luigi come stai,tu lo e lo
Tutto bene grazie,tu lo e lo
Quanto costa il biglietto,tu lo e lo
Va bene grazie lo stesso,tu lo lo
Perfetto vorrei comprarne due.,certo lo lo e lo
Piacere Luigi come stai,certo un lo e lo
Tutto bene grazie,tutto un certo
E in offerta costa dieci euro,e lo e lo
Quanto costa il biglietto,tu lo lo
Prendiamo un caffe al bar,tutto io
A che ora arriva il pullman,tu lo io lo
Dovrebbe arrivare tra qualche minuto,tu lo e lo
Tutto bene tu,tutto lo
