Truth,Decoded
Piacere Luigi come stai,puret e io
Si grazie e arrivederci,purer e io
Le auguro una buona giornata,puret lo
Salve quanto costa quell articolo,puret e io
Tutto bene tu,prego
Buonasera io sono Mario,puret e io
E in offerta costa dieci euro,prego
Buongiorno io sono Mario,prego
Purtroppo non lo so pero potresti chiedere all autista,prego e lo
Dovrebbe arrivare tra qualche minuto,prego
Prendiamo un caffe al bar,prego
Certo ecco a lei vuole un sacchetto,pureneto
Prego,prego
Va bene grazie lo stesso,prego
Quanto costa il biglietto,prego
"Certo volentieri, io lo prendero macchiato",tutto e lo
