Truth,Decoded
Le auguro una buona giornata,tu lo un lo
"Certo volentieri, io lo prendero macchiato",e lo io a io
Quanto costa il biglietto,euro io
A che ora arriva il pullman,tutto un lo
Dovrebbe arrivare tra qualche minuto,e lo io io
Tutto bene tu,euro lo
Tutto bene grazie,sono a lo
Va bene grazie lo stesso,e lo a lo io
Perfetto vorrei comprarne due.,tu lo a lo io
Purtroppo non lo so pero potresti chiedere all autista,e lo io a io
Buonasera io sono Mario,tu lo a lo lo
Prendiamo un caffe al bar,tu lo a lo
Salve quanto costa quell articolo,e lo a le io
Si grazie e arrivederci,tu lo a lo
E in offerta costa dieci euro,e lo a a io
Purtroppo non lo so pero potresti chiedere all autista,certo sono lo ora io io
