Truth,Decoded
E in offerta costa dieci euro,tu lo si lo
Certo ecco a lei vuole un sacchetto,certo e io
Si grazie e arrivederci,certo e io
Piacere Luigi come stai,tu lo io e io
Tutto bene grazie,tu lo io
Quanto costa il biglietto,certo io io
Va bene grazie lo stesso,tu lo io lo
Perfetto vorrei comprarne due.,certo un lo lo e io
Piacere Luigi come stai,certo un lo lo e io
Tutto bene grazie,tu lo nioeto
E in offerta costa dieci euro,tu lo un io
Quanto costa il biglietto,tu lo io lo
Prendiamo un caffe al bar,tu lo io
A che ora arriva il pullman,tu lo si certo
Dovrebbe arrivare tra qualche minuto,tu lo io e io
Tutto bene tu,tu lo certo
