Truth,Decoded
Le auguro una buona giornata,puret io
E in offerta costa dieci euro,puret lo
Prendiamo un caffe al bar,prego e io
Buonasera io sono Mario,pero io
Va bene grazie lo stesso,prego
Dovrebbe arrivare tra qualche minuto,prego
Si grazie e arrivederci,prego
Purtroppo non lo so pero potresti chiedere all autista,certo e lo
Tutto bene tu,prego
Tutto bene grazie,prego
Certo ecco a lei vuole un sacchetto,pero io
Le auguro una buona giornata,pero io
Salve quanto costa quell articolo,prego
"Certo volentieri, io lo prendero macchiato",certo e io
Buonasera io sono Mario,prego
A che ora arriva il pullman,prego
