Truth,Decoded
Dovrebbe arrivare tra qualche minuto,lo
A che ora arriva il pullman,lo
Perfetto vorrei comprarne due.,lo
Salve quanto costa quell articolo,lo
Va bene grazie lo stesso,lo
Tutto bene tu,lo
"Certo volentieri, io lo prendero macchiato",lo
Buongiorno io sono Mario,lo
Le auguro una buona giornata,lo
Prego,lo
Prendiamo un caffe al bar,lo
Piacere Luigi come stai,lo
Si grazie e arrivederci,lo
Certo ecco a lei vuole un sacchetto,lo
Va bene grazie lo stesso,lo
Le auguro una buona giornata,lo
