Truth,Decoded
Purtroppo non lo so pero potresti chiedere all autista,purtroppo lo lo lo opopra lo maiato
Tutto bene tu,tutene lo
"Certo volentieri, io lo prendero macchiato",e lo a il a le io
Dovrebbe arrivare tra qualche minuto,va bene arrivare aveo
Prego,prego
Tutto bene grazie,tutto lo
E in offerta costa dieci euro,e e e lo stai e io
Buongiorno io sono Mario,tutto un io mario
A che ora arriva il pullman,a certo mario lo lo
Salve quanto costa quell articolo,pero lo e lo
Va bene grazie lo stesso,a bene mario io lo
Prendiamo un caffe al bar,tutto a
Certo ecco a lei vuole un sacchetto,a a io bene lo
Si grazie e arrivederci,turtne lo
Buonasera io sono Mario,e euro io il lo
Perfetto vorrei comprarne due.,mario a come
