Truth,Decoded
"Certo volentieri, io lo prendero macchiato",certo ora lo so lo
Buonasera io sono Mario,buona e il io
Certo ecco a lei vuole un sacchetto,certo in io stai ueder ahito
Prego,prego
Salve quanto costa quell articolo,certo io cosane io
A che ora arriva il pullman,a certo mario il lo
Piacere Luigi come stai,euro una io io
E in offerta costa dieci euro,certo tra il stai e io
Purtroppo non lo so pero potresti chiedere all autista,certo vrnte io costa cider lo autista
Si grazie e arrivederci,certo erterera rtavulel actito
Tutto bene tu,tutto prego
Tutto bene grazie,tutto e lei
Buongiorno io sono Mario,puonoana io e lo
Prego,prego
Certo ecco a lei vuole un sacchetto,a lo io il a un io
Piacere Luigi come stai,purnro io come lo
