Truth,Decoded
Salve quanto costa quell articolo,perfeoa io sono io
A che ora arriva il pullman,a che ora arriva il pullman
Buonasera io sono Mario,buonorn io sono mario
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
Prendiamo un caffe al bar,prendiamo un caffe al bar
Va bene grazie lo stesso,va e raieltestu
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero costa heare al autista
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacueto
Tutto bene tu,tutto bene tu
"Certo volentieri, io lo prendero macchiato",prevoede al
A che ora arriva il pullman,e e ora va il lman
Buongiorno io sono Mario,prego
Certo ecco a lei vuole un sacchetto,piacere uauori lo si
Purtroppo non lo so pero potresti chiedere all autista,prego lo lo plore tra ciedrl autista
Perfetto vorrei comprarne due.,pravoa lo reareo certo
Prego,prego
