Truth,Decoded
Buongiorno io sono Mario,buongioronrno io sono mario
Prendiamo un caffe al bar,prendiamo un a lo bar
Perfetto vorrei comprarne due.,peretovrei comprarne due
Buonasera io sono Mario,buonasera ioson mario
Tutto bene tu,tutto bene tu
Piacere Luigi come stai,piacere lei come stai
Quanto costa il biglietto,quanto costa lo biglto
Prego,prego
Tutto bene grazie,tutto bene grazie
E in offerta costa dieci euro,e in offerta costa lei lo
Dovrebbe arrivare tra qualche minuto,drvrob e arrivare tra qualche minuto
"Certo volentieri, io lo prendero macchiato",certonvolentiri io lo prendero macchiato
Va bene grazie lo stesso,tutbene pero
Piacere Luigi come stai,piacere un bene stai
A che ora arriva il pullman,a che ora arriva il pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
