Truth,Decoded
Salve quanto costa quell articolo,certo va io sono mario
A che ora arriva il pullman,a che ora arriva il pullman
Buonasera io sono Mario,buongiorno io sono mario
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
Prendiamo un caffe al bar,prendiamo un caffe al bar
Va bene grazie lo stesso,tutbne azlosteo
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero costa chiedere al autista
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacchetto
Tutto bene tu,tutto bene tu
"Certo volentieri, io lo prendero macchiato",prego piedealo
A che ora arriva il pullman,e io ora va lo un
Buongiorno io sono Mario,buona lo lo
Certo ecco a lei vuole un sacchetto,preavao cotaici
Purtroppo non lo so pero potresti chiedere all autista,e lo lo ora ricrl autista
Perfetto vorrei comprarne due.,tra voalori didrecdto
Prego,prego
