Truth,Decoded
Buonasera io sono Mario,bene tra io sono mario
E in offerta costa dieci euro,prego io io
Buongiorno io sono Mario,quanto sono io
Certo ecco a lei vuole un sacchetto,pero auortraiclti
Purtroppo non lo so pero potresti chiedere all autista,e si lo lo lo il autista
Dovrebbe arrivare tra qualche minuto,prego ravarehi due minuto
"Certo volentieri, io lo prendero macchiato",certo oernieri io io lo pero macchiato
Salve quanto costa quell articolo,tu una il lo
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere al autista
Piacere Luigi come stai,piacere luigi come stai
Le auguro una buona giornata,le auguro una buona gioato
Quanto costa il biglietto,quanto costa il biglietto
Dovrebbe arrivare tra qualche minuto,otobe arriva so alchminto
Buonasera io sono Mario,tu oaseraoi sono mario
Perfetto vorrei comprarne due.,tetriorei comprarne un
Tutto bene tu,tutto bene tu
