Truth,Decoded
Buongiorno io sono Mario,lo lo io
Prendiamo un caffe al bar,lo e e lo
Perfetto vorrei comprarne due.,lo lo lo
Buonasera io sono Mario,lo lo lo io
Tutto bene tu,io
Piacere Luigi come stai,lo lo lo lo
Quanto costa il biglietto,lo lo
Prego,lo
Tutto bene grazie,lo riato
E in offerta costa dieci euro,lo lo e lo
Dovrebbe arrivare tra qualche minuto,lo a le si le lo
"Certo volentieri, io lo prendero macchiato",lo lo lo lo
Va bene grazie lo stesso,reoio
Piacere Luigi come stai,lo lo io
A che ora arriva il pullman,lo lo lo io
Dovrebbe arrivare tra qualche minuto,lo lo lo lo
