Truth,Decoded
Salve quanto costa quell articolo,a le quanto costa quell articolo
Piacere Luigi come stai,piacere luigi come stai
E in offerta costa dieci euro,e in offerta costa dieci euro
"Certo volentieri, io lo prendero macchiato",prego autista
Piacere Luigi come stai,piacere a io stai
Quanto costa il biglietto,pero lo autista
Le auguro una buona giornata,a a gvoi lo io a ora
A che ora arriva il pullman,a a ora va lo
Si grazie e arrivederci,pirezci
Va bene grazie lo stesso,a e io lei
Prego,prego
Prendiamo un caffe al bar,prendiamo uncafe bar
Tutto bene tu,prego e stai
Salve quanto costa quell articolo,a gragaei lo
Perfetto vorrei comprarne due.,a a voaro a predelsa
Tutto bene grazie,pero grti
