Truth,Decoded
Buonasera io sono Mario,a bene a sono mario
E in offerta costa dieci euro,e si
Buongiorno io sono Mario,pruon tu
Certo ecco a lei vuole un sacchetto,piacere vuole ora io io
Purtroppo non lo so pero potresti chiedere all autista,e non lo peotre sricrar lo autista
Dovrebbe arrivare tra qualche minuto,a a io vrerivre due minuto
"Certo volentieri, io lo prendero macchiato",certo eurieiuoi prendero macchiato
Salve quanto costa quell articolo,lcectuo euro un un articolo
Purtroppo non lo so pero potresti chiedere all autista,purtroppo non lo so pero potresti chiedere al autista
Piacere Luigi come stai,piacere luigi come stai
Le auguro una buona giornata,le auguro una buona giornata
Quanto costa il biglietto,quanto costa il biglietto
Dovrebbe arrivare tra qualche minuto,dovrebbe arivaresoa qualche minuto
Buonasera io sono Mario,buonasera io sono mario
Perfetto vorrei comprarne due.,perfetoiororei comprarne un
Tutto bene tu,tutto bene tu
